Function	中文-自动化变异详情	中文-疾病名称	ExIn_ID	中文-突变判定	参考文献-标准	Gene Symbol	Chr	Transcript	英文-疾病名称	遗传模式	疾病背景（CH）	治疗与干预（中文）	发病率(中文)	新生儿一体机包装变异
EX52_54 DEL	该变异为缺失变异，会导致DMD基因的第52-54号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX52_54 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX52-54	致病变异	Zhang Y, et al. [Genetic diagnosis of Duchenne/Becker muscular dystrophy by MLPA]. Zhonghua Yi Xue Yi Chuan Xue Za Zhi.2014 Jun;31(3):338-43	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX52_58 DEL	该变异为缺失变异，会导致DMD基因的第52-58号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX52_58 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX52-58	致病变异	Zamani GR, et al. Analysis of dystrophin gene in Iranian Duchenne and Becker muscular dystrophies patients and identification of a novel mutation. Neurol Sci.2015 Nov;36(11):2011-7	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX5_27 DEL	该变异为缺失变异，会导致DMD基因的第5-27号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX5_27 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX5-27	致病变异	Tran VK, et al. Exon deletion patterns of the dystrophin gene in 82 Vietnamese Duchenne/Becker muscular dystrophy patients. J Neurogenet.2013 Dec;27(4):170-5	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX52_78 DEL	该变异为缺失变异，会导致DMD基因的第52-78号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX52_78 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX52-78	致病变异	Santos R, et al. New variants, challenges and pitfalls in DMD genotyping: implications in diagnosis, prognosis and therapy. J Hum Genet.2014 Aug;59(8):454-64	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX5_33 DEL	该变异为缺失变异，会导致DMD基因的第5-33号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX5_33 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX5-33	致病变异	Yang J, et al. MLPA-based genotype-phenotype analysis in 1053 Chinese patients with DMD/BMD. BMC Med Genet.2013 Mar 1;14():29	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX53_57 DEL	该变异为缺失变异，会导致DMD基因的第53-57号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX53_57 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX53-57	致病变异	Mah JK, et al. A population-based study of dystrophin mutations in Canada. Can J Neurol Sci.2011 May;38(3):465-74	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX55_60 DEL	该变异为缺失变异，会导致DMD基因的第55-60号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX55_60 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX55-60	致病变异	Chen CA, et al. Capillary electrophoresis for analysis of deletion and duplication in exon 44-55 of Duchenne muscular dystrophy gene. Electrophoresis.2013 Sep;34(17):2503-10	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX56_60 DEL	该变异为缺失变异，会导致DMD基因的第56-60号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX56_60 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX56-60	致病变异	Zamani GR, et al. Analysis of dystrophin gene in Iranian Duchenne and Becker muscular dystrophies patients and identification of a novel mutation. Neurol Sci.2015 Nov;36(11):2011-7	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX56_63 DEL	该变异为缺失变异，会导致DMD基因的第56-63号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX56_63 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX56-63	致病变异	Taylor PJ, et al. Measurement of the clinical utility of a combined mutation detection protocol in carriers of Duchenne and Becker muscular dystrophy. J Med Genet.2007 Jun;44(6):368-72	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX56_64 DEL	该变异为缺失变异，会导致DMD基因的第56-64号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX56_64 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX56-64	致病变异	Vieitez I, et al. Mutational spectrum of Duchenne muscular dystrophy in Spain: Study of 284 cases. Neurologia.2017 Jul - Aug;32(6):377-385	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX59_60 DEL	该变异为缺失变异，会导致DMD基因的第59-60号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX59_60 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX59-60	致病变异	Zhang Y, et al. [Genetic diagnosis of Duchenne/Becker muscular dystrophy by MLPA]. Zhonghua Yi Xue Yi Chuan Xue Za Zhi.2014 Jun;31(3):338-43	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX60_62 DEL	该变异为缺失变异，会导致DMD基因的第60-62号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX60_62 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX60-62	致病变异	Mendell JR, et al. Diagnosis of Duchenne dystrophy by enhanced detection of small mutations. Neurology.2001 Aug 28;57(4):645-50	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX6_14 DEL	该变异为缺失变异，会导致DMD基因的第6-14号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX6_14 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX6-14	致病变异	Mah JK, et al. A population-based study of dystrophin mutations in Canada. Can J Neurol Sci.2011 May;38(3):465-74	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX61_77 DEL	该变异为缺失变异，会导致DMD基因的第61-77号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX61_77 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX61-77	致病变异	Garcia S, et al. Identification of de novo mutations of Duchénnè/Becker muscular dystrophies in southern Spain. Int J Med Sci.2014;11(10):988-93	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX6_33 DEL	该变异为缺失变异，会导致DMD基因的第6-33号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX6_33 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX6-33	致病变异	Guo R, et al. DMD mutation spectrum analysis in 613 Chinese patients with dystrophinopathy. J Hum Genet.2015 Aug;60(8):435-42	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX63_64 DEL	该变异为缺失变异，会导致DMD基因的第63-64号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX63_64 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX63-64	致病变异	Vieitez I, et al. Mutational spectrum of Duchenne muscular dystrophy in Spain: Study of 284 cases. Neurologia.2017 Jul - Aug;32(6):377-385	DMD		NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
